*** START OF AKTAHEADER ***
Başlık: Vanity, All Is Vanity (Kibir, Her Şey Kibirdir)
Yazar: Anonymous
Yayın Tarihi: July 29, 2006 [EBook #18935]
Dil: English
Link: https://www.gutenberg.org/ebooks/18935
Çeviri: Python-deep_translator-GoogleTranslator
Kategori: psikoloji
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of Vanity, All Is Vanity, by Anonymous

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org


Title: Vanity, All Is Vanity
       A Lecture on Tobacco and its effects

Author: Anonymous

Editor: J. J. Cranmer

Release Date: July 29, 2006 [EBook #18935]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK VANITY, ALL IS VANITY ***

*** START OF TURKISH PART ***
David Garcia ve http://www.pgdp.net adresindeki Çevrimiçi Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu dosya The
Kentuckiana Dijital Kütüphanesi tarafından cömertçe sağlanan görsellerden üretilmiştir)

1
+-----------------------------------------------------------------------------------------+
|[İllüstrasyon] |
| |
| |
| |
| |
| "BOŞGUNLUK," |
| |
| 'HER ŞEY BOŞGUNLUKTUR.' |
| |
| |
| Tütün ve etkileri üzerine bir konferans |
| |
| |
| KAMUYA ADANMIŞTIR |
| YAŞLI J. J. CRANMER, Editör ve sahibi |
| (İncil) (Gözetmen), (H)annibal (M)issouri. |
| |
| |
| SAĞLIK HASTALIKLI BİR BEDENDE HÜKÜMDAR OLUR MU? |
| BİLGELİK DELİLİKLE YOL GİTMEZ. |
| |
| _ZİHİN her şeydir! Hisseder, bilir, hareket eder, |
| düşünür ve görür._ |
| |
| Zihin, hastalıkta ve sağlıkta bedenin en üstün kontrolüne sahiptir. |
| _Doğanın Hükümlerini_ görün. |
| |
| Alışkanlığa hizmet etmek bir kraldan daha zordur, vergileri daha büyüktür, onlar sadece yıllık olarak değil, günlük ve saatlik olarak, beden, zihin ve cepte gelir. Siz |
| onun zincirlerine bağlısınız ve onun çağrılarına cevap vermelisiniz. |
| |
| ---*-------*========*======*-------*--- |
| |
| DOĞANIN KARARLARINI sana göndereceğiz. |
| Sana beynin işini vereceğiz. |
| Cennetin ihtişamını etrafına saç, |
| Ve ayağa kalk çünkü işlerin anlamsız, |
| Yabancının alayları senin öldüğünü söyledi; |
| Alaycı ve soytarı için bir kahkaha. |
| Git bak; Kraldan çiftçiye, |
| Tütün yaprağına sarılmış köleleri gör. |
| * * * * * |
| Geçmişte yürüdüğümüz mezarların üzerinden, |
| Hala ıslahın çiğleri için dua ediyoruz |
| Zehir sağanakları yağdırırken, |
| Zararından uzak tutmamız gerekenleri. |
| |
| |
| ---*-------*===( Oku. )===*--------*--- |
| |
| |
+--------------------------------------------------------------------------------+

2
+-----------------------------------------------------------------------------------+
|[İllüstrasyon] |
| |
| |
| |
| NİKOTİN Nikotin. |
| ZEHİRLER! |
| |
| CESARET! ADAM, CESARET!! |
| |
| |
